UPI_Banks,Volume_(Mn)_By_Costumers,"Value (Cr) by Costumers",Volume_(Mn),Value_(Cr),Month,Year
"Google Pay",1587.43,302989.79,1587.43,302989.79,12,2021
"Google Pay",1447.84,283357.99,1447.84,283357.99,11,2021
"Google Pay",1451.93,287491.46,1451.93,287491.46,10,2021
"Google Pay",1294.56,250393.65,1294.56,250393.65,9,2021
"Google Pay",1243.75,244453.05,1243.75,244453.05,8,2021
"Google Pay",1119.16,230847.54,1119.16,230847.54,7,2021
"Google Pay",972.26,207287.73,972.26,207287.73,6,2021
"Google Pay",880.59,187136.95,880.59,187136.95,5,2021
"Google Pay",905.96,190106.71,905.96,190106.71,4,2021
"Google Pay",957.01,201185.14,957.01,201185.14,3,2021
"Google Pay",827.86,174455.33,827.86,174455.33,2,2021
"Google Pay",853.53,177791.47,853.53,177791.47,1,2021
