UPI_Banks,Volume_(Mn)_By_Costumers,"Value (Cr) by Costumers",Volume_(Mn),Value_(Cr),Month,Year
PhonePe,2077.6,394565.58,2077.6,394565.58,12,2021
PhonePe,1911.21,365044.32,1911.21,365044.32,11,2021
PhonePe,1937.57,365845.39,1937.57,365845.39,10,2021
PhonePe,1653.19,306437.37,1653.19,306437.37,9,2021
PhonePe,1622.95,301644.8,1622.95,301644.8,8,2021
PhonePe,1492.09,288573,1492.09,288572.9,7,2021
PhonePe,1292.71,262565.88,1292.71,262565.88,6,2021
PhonePe,1149.84,234123.57,1149.84,234123.57,5,2021
PhonePe,1189.89,234023.33,1189.89,234023.33,4,2021
PhonePe,1199.51,231412.33,1199.51,231412.33,3,2021
PhonePe,975.53,189517.82,975.53,189517.82,2,2021
PhonePe,968.72,191973.77,968.72,191973.77,1,2021
