,"UPI Banks
","Volume (Mn) By Costumers
","Value (Cr) by Costumers
","Volume (Mn)
",Value (Cr),Month
0,AU Small Finance Bank App,8.53,2047.45,13.22,4729.77,1
1,AU Small Finance Bank App,0.02,7.36,0.02,7.36,1
2,AU Small Finance Bank Apps,73.5,6729.66,73.5,6729.66,1
3,AU Small Finance Bank Apps,0.23,81.15,0.23,81.15,1
4,AU Small Finance Bank Apps,6.78,1058.77,47.25,1093.02,1
5,AU Small Finance Bank Apps,0.24,12.88,0.24,12.88,1
6,Airtel Payments Bank Apps,0.71,342.85,0.71,342.85,1
7,Airtel Payments Bank Apps,0.05,20.23,0.05,20.23,1
8,Airtel Payments Bank Apps,0.05,12.46,0.05,12.46,1
9,Airtel Payments Bank Apps,25.82,8511.91,25.82,8511.91,1
10,Airtel Payments Bank Apps,0.26,98.95,0.26,98.95,1
11,Airtel Payments Bank Apps,0.13,47.33,0.13,47.33,1
12,Allahabad Bank App,0.09,77.8,0.09,77.8,1
13,Allahabad Bank App,0.02,4.92,0.02,4.92,1
14,Allahabad Bank Apps,1.21,179.22,1.21,179.22,1
15,Allahabad Bank Apps,10.68,14189.86,10.68,14189.86,1
16,Allahabad Bank Apps,0.51,186.79,0.51,186.79,1
17,Amazon Pay,0.02,26.5,0.02,26.5,1
18,Amazon Pay,0.92,61.95,0.92,62.08,1
19,Amazon Pay,0.01,2.95,0.01,2.95,1
20,Amazon Pay,0.54,109.25,0.54,109.25,1
21,Amazon Pay,0.03,2.79,0.03,2.79,1
22,Amazon Pay,0.07,3.69,0.07,3.69,1
23,Axis Bank Apps,1584.2,298267.07,1584.2,298267.07,1
24,Axis Bank Apps,4.94,1366.89,4.94,1366.89,1
25,Axis Bank Apps,0.08,54.47,0.08,54.57,1
26,Axis Bank Apps,29.87,8491.18,33.43,8707.05,1
27,Axis Bank Apps,0.02,12.54,0.02,12.54,1
28,Axis Bank Apps,1.22,316.37,1.22,316.37,1
29,BHIM,2.65,309.42,2.65,309.42,1
30,BHIM,0.13,47.42,0.13,47.42,1
31,BHIM,0.74,1218.79,0.74,1218.79,1
32,BHIM,0.01,2.47,0.01,2.47,1
33,BHIM,0.01,4.46,0.01,4.46,1
34,BHIM,2.05,114.39,2.05,114.39,1
35,Bajaj Finserv,1.02,156.15,1.02,156.15,1
36,Bajaj Finserv,0.25,31.19,0.25,31.19,1
37,Bajaj Finserv,0.04,17.37,0.04,17.37,1
38,Bajaj Finserv,6.88,1333.06,6.88,1333.06,1
39,Bajaj Finserv,0.06,19.63,0.06,19.63,1
40,Bajaj Finserv,0.27,40.51,0.27,40.51,1
41,Bajaj Markets,3.87,886.55,3.87,886.55,1
42,Bank of Baroda Apps,0.02,1.45,0.02,1.45,1
43,Bank of Baroda Apps,615.9,70892.01,710.28,85125.97,1
44,Bank of Baroda Apps,2140.28,405173.78,2140.28,405173.78,1
45,Bank of Baroda Apps,0.09,44.86,0.09,44.86,1
46,Bank of Baroda Apps,0.01,2.87,0.01,2.87,1
47,Bank of Baroda Apps,0.42,101.45,0.43,101.45,1
48,Bank of India App,3.17,431.07,3.17,431.07,1
49,Bank of India App,0.13,41.4,0.13,41.4,1
50,Bank of India Apps,0.11,60.49,0.11,60.49,1
51,Bank of India Apps,3.62,1967.04,3.62,1967.05,1
52,Bank of India Apps,0.16,37.26,0.16,37.26,1
53,Bank of India Apps,2.14,177.63,2.14,177.63,1
54,Bank of Maharashtra App,0.39,182.27,0.39,182.27,1
55,Bank of Maharashtra App,2.34,205.83,2.34,205.83,1
56,Bank of Maharashtra Apps,27.24,5816.96,27.59,5817.16,1
57,Bank of Maharashtra Apps,0.05,77.12,0.05,77.12,1
58,Bank of Maharashtra Apps,0.02,9.08,0.02,9.08,1
59,Bank of Maharashtra Apps,5.8,1199.46,7.58,2210.17,2
60,Canara Bank App,0.02,6.28,0.02,6.28,2
61,Canara Bank App,63.49,6044.47,63.49,6044.47,2
62,Canara Bank Apps,0.25,89.36,0.25,89.36,2
63,Canara Bank Apps,6.9,1366.34,54.78,1405.26,2
64,Canara Bank Apps,0.33,19.32,0.33,19.32,2
65,Canara Bank Apps,0.67,330.69,0.67,330.69,2
66,Central Bank of India App,0.05,21.28,0.05,21.28,2
67,Central Bank of India App,0.05,12.49,0.05,12.49,2
68,Central Bank of India Apps,23.25,7891.86,23.25,7891.86,2
69,Central Bank of India Apps,0.26,95.78,0.26,95.78,2
70,Central Bank of India Apps,0.12,45.26,0.12,45.26,2
71,Central Bank of India Apps,0.08,69.22,0.08,69.22,2
72,Citi Bank App,0.02,5.49,0.02,5.49,2
73,Citi Bank App,1.73,280.57,1.73,280.57,2
74,Citi Bank Apps,10.08,13364.09,10.08,13364.09,2
75,Citi Bank Apps,0.46,173.63,0.46,173.63,2
76,Citi Bank Apps,0.02,23.93,0.02,23.93,2
77,Citi Bank Apps,0.87,70.43,0.87,70.43,2
78,City Union Bank App,0.01,2.83,0.01,2.83,2
79,City Union Bank App,0.55,108.21,0.55,108.21,2
80,City Union Bank Apps,0.03,3.25,0.03,3.25,2
81,City Union Bank Apps,0.06,3.8,0.06,3.8,2
82,City Union Bank Apps,1524.09,291273.46,1524.09,291273.46,2
83,City Union Bank Apps,4.59,1370.03,4.59,1370.03,2
84,Cointab,0.08,52.94,0.08,52.97,2
85,Cointab,27.39,8537.11,30.66,8727.44,2
86,Cointab,0.02,14.6,0.02,14.6,2
87,Cointab,1.21,321.93,1.21,321.93,2
88,Cointab,2.21,268.9,2.21,268.9,2
89,Cointab,0.11,42.07,0.11,42.07,2
90,Cred,0.77,1358.24,0.77,1358.24,2
91,Cred,0.01,3.43,0.01,3.43,2
92,Cred,0.01,4.33,0.01,4.33,2
93,Cred,1.97,111.85,1.97,111.85,2
94,Cred,1.13,140.79,1.13,140.79,2
95,Cred,0.25,31.35,0.25,31.35,2
96,DBS Digibank App,0.04,17.17,0.04,17.17,2
97,DBS Digibank App,6.91,1383.3,6.91,1383.3,2
98,DBS Digibank Apps,0.08,33.03,0.08,33.03,2
99,DBS Digibank Apps,0.25,38.46,0.25,38.46,2
100,DBS Digibank Apps,3.78,755.89,3.78,755.89,2
101,DBS Digibank Apps,0.02,1.77,0.02,1.77,2
102,Dena Bank App,613.77,72204.32,706.77,86299.22,2
103,Dena Bank App,2120.2,407640.11,2120.2,407640.11,2
104,Dena Bank Apps,0.08,43.49,0.08,43.49,2
105,Deutsche Bank App,0.01,2.66,0.01,2.66,2
106,Deutsche Bank App,0.51,107.25,0.51,107.25,2
107,Deutsche Bank Apps,3.14,421.97,3.14,421.97,2
108,Deutsche Bank Apps,0.12,38.69,0.12,38.69,2
109,Deutsche Bank Apps,0.12,64.7,0.12,64.7,2
110,Deutsche Bank Apps,3.38,1863.42,3.38,1863.42,2
111,Dhanlaxmi Bank App,0.16,35.05,0.16,35.05,2
112,Dhanlaxmi Bank App,1.51,158.7,1.51,158.7,2
113,Dhanlaxmi Bank Apps,0.35,166.72,0.35,166.72,2
114,Dhanlaxmi Bank Apps,0.01,2.42,0.01,2.42,2
115,Dhanlaxmi Bank Apps,2.24,207.09,2.24,207.09,2
116,Dhanlaxmi Bank Apps,31.99,6551.55,32.17,6551.61,2
117,Equitas Small Finance Bank Apps,0.05,89.7,0.05,89.7,2
118,Fave,0.02,8.15,0.02,8.15,2
119,Fave,8.33,1934.41,13.16,4492.25,3
120,Fave,0.02,6.15,0.02,6.15,3
121,Fave,76.34,6894.78,76.34,6894.78,3
122,Federal Bank App,0.29,104.48,0.29,104.48,3
123,Federal Bank App,7.09,1045.13,61.29,1084.94,3
124,Federal Bank Apps,0.35,24.08,0.35,24.08,3
125,Federal Bank Apps,0.69,328.61,0.69,328.61,3
126,Federal Bank Apps,0.08,26.22,0.08,26.22,3
127,Federal Bank Apps,0.05,15.0,0.05,15.0,3
128,Fino Payments bank App,24.88,8050.24,24.88,8050.24,3
129,Fino Payments bank App,0.31,109.68,0.31,109.68,3
130,Fino Payments bank Apps,0.14,50.67,0.14,50.67,3
131,Fino Payments bank Apps,0.11,68.41,0.11,68.41,3
132,Fino Payments bank Apps,0.03,7.3,0.03,7.3,3
133,Fino Payments bank Apps,0.08,33.22,0.08,33.22,3
134,Finserv Markets,12.11,16136.11,12.11,16136.11,3
135,Finserv Markets,0.49,185.52,0.49,185.52,3
136,Finserv Markets,0.02,29.32,0.02,29.32,3
137,Finshell Pay,1.02,91.66,1.02,93.02,3
138,Finshell Pay,0.01,3.29,0.01,3.29,3
139,Finshell Pay,0.37,13.0,0.37,13.0,3
140,Finshell Pay,2.45,360.96,2.45,360.96,3
141,Finshell Pay,0.04,3.47,0.04,3.47,3
142,Finshell Pay,0.03,1.49,0.03,1.49,3
143,GoIbibo,0.08,4.0,0.08,4.0,3
144,GoIbibo,0.02,5.91,0.02,5.91,3
145,GoIbibo,1838.12,338873.25,1838.12,338873.25,3
146,GoIbibo,0.83,472.71,0.83,472.71,3
147,Google Pay,5.45,1624.54,5.45,1624.54,3
148,Google Pay,0.1,61.85,0.1,62.0,3
149,Google Pay,31.49,10304.08,35.13,10538.69,3
150,Google Pay,0.03,16.25,0.03,16.25,3
151,Google Pay,2.7,534.56,2.7,534.56,3
152,Google Pay,2.95,321.14,2.95,321.14,3
153,Groww,0.11,42.26,0.11,42.26,3
154,Groww,0.01,1.62,0.01,1.62,3
155,Groww,1.03,2252.3,1.03,2252.3,3
156,Groww,0.01,2.15,0.01,2.15,3
157,HDFC Bank Apps,0.01,4.51,0.01,4.51,3
158,HDFC Bank Apps,2.27,129.5,2.27,129.5,3
159,HDFC Bank Apps,1.32,164.8,1.32,164.8,3
160,HDFC Bank Apps,0.3,37.96,0.3,37.96,3
161,HDFC Bank Apps,0.04,18.29,0.04,18.29,3
162,HDFC Bank Apps,7.92,1587.51,7.92,1587.51,3
163,HSBC Bank App,0.1,47.1,0.1,47.1,3
164,HSBC Bank App,0.24,36.02,0.24,36.02,3
165,HSBC Bank Apps,3.6,739.25,3.6,739.25,3
166,HSBC Bank Apps,0.02,2.28,0.02,2.28,3
167,HSBC Bank Apps,729.63,83840.44,837.14,95650.36,3
168,HSBC Bank Apps,2527.15,471401.26,2527.15,471401.26,3
169,ICICI Bank Apps,0.09,46.64,0.09,46.64,3
170,ICICI Bank Apps,0.01,3.8,0.01,3.8,3
171,ICICI Bank Apps,0.46,126.74,0.46,126.75,3
172,ICICI Bank Apps,3.73,473.5,3.73,473.5,3
173,ICICI Bank Apps,0.13,44.63,0.13,44.63,3
174,ICICI Bank Apps,0.13,69.84,0.13,69.84,3
175,IDBI Bank App,4.01,2130.56,4.01,2130.56,3
176,IDBI Bank App,0.1,0.64,0.1,0.64,3
177,IDBI Bank Apps,0.19,40.88,0.19,40.88,3
178,IDBI Bank Apps,0.03,1.12,0.03,1.12,3
179,IDBI Bank Apps,0.41,197.01,0.41,197.01,3
180,IDBI Bank Apps,0.01,3.9,0.01,3.9,3
181,IDFC Bank App,2.54,239.78,2.54,239.78,3
182,IDFC Bank App,35.25,8746.74,35.25,8746.74,3
183,IDFC Bank Apps,0.06,105.39,0.06,105.39,3
184,IDFC Bank Apps,0.02,8.11,0.02,8.11,3
185,IDFC Bank Apps,5.29,454.64,5.3,460.9,4
186,IDFC Bank Apps,73.21,6699.57,73.21,6699.57,4
187,India Post Payments Bank App,0.32,109.89,0.32,109.89,4
188,India Post Payments Bank App,7.19,1213.44,64.03,1257.15,4
189,India Post Payments Bank Apps,0.52,38.61,0.52,38.61,4
190,India Post Payments Bank Apps,0.77,344.65,0.77,344.65,4
191,India Post Payments Bank Apps,0.1,32.62,0.1,32.62,4
192,India Post Payments Bank Apps,0.05,14.56,0.05,14.56,4
